序号,内容
272,这主角不是丑
273,一点也不丑
274,但是就是看的别扭
275,那是不太好看
276,前面的说得对
277,那就是丑
278,要是没有人被带节奏
279,票房不会是这个水平
280,惎
281,确实
282,哪怕剧情好也不助长歪风邪气
283,鴬
284,墎
285,那是自来水吗
286,不是眯眯眼
287,是眼距和眼睛位置有问题
288,甚至脸的轮廓很像猴子
289,前面那个你没见过男的吗
290,新京报歪屁股
291,两句话合一块说
292,哪吒说白了还是欧美风
293,看看外国动画的婴儿和小孩子
294,白蛇不就是欧美审美风嘛
295,长得丑的人最恨的是镜子
296,主角非得帅吗
297,熏
298,鳖
299,广东人
300,就长这个样
301,说的在理
302,普通人也可以成功
303,苮
304,胡说八道
305,海报挺漂亮的
306,能说是画风
307,但画风这东西用在
308,上真的很奇怪
309,导演访谈里说
310,觉得人物丑
311,可以拿镜子照照自己
312,绝了
313,鬼看这种东西
314,这样下去市场都唯民族营销这样真的好吗
315,舆论
316,什么是主流审美
317,王者荣耀卡姿兰大眼睛
318,笑话
319,站着把钱挣了你能上映
320,现在各种在影视剧里夹带私货的还少吗
321,真当国人都是白痴
322,不好看
323,这就是唐氏综合症
324,是病
325,给治
326,所有说做了贼心就会虚
327,越解释就越快露馅
328,这个世界就很扯
329,这个前置有不详预感
330,片方回应说广东人就长这样
331,还让观众回家照照镜子
332,例子
333,周星驰演了那么多小人物
334,也不是这种形象啊
335,那就侧重证明这部电影水军多
336,互联网真有那么火现实中票房也不会差
337,现实
338,对不起我身边没人眯眯眼
339,要是广东人确实长这样
340,那行
341,你对
342,你这话说的
343,漫威丧气被禁都感觉是我们冤枉人家了
344,鼯
345,就这还写实向呢
346,你家煲仔饭没锅巴的啊
347,梏
348,蔰
349,别说广东人
350,我湖南人都不买这个帐
351,要这长相是别的什么省份的所谓小人物
352,我照样不买账
353,一个简单逻辑
354,安利不起来
355,还能说好
356,这是地域黑吗
357,广东人不长这样
358,导演是福建人吧
359,裏
360,为啥不给安排个火爆档期呢
361,广东人这样长相的也不是主流啊
362,好好好
363,如果主角团里有一两个这样的叫有特点
364,全员都这个长相就就有问题了
365,五官不合三庭五眼那就不是人
366,连灵长类都不是
367,倒象碲类动物的分布
368,哪吒里也就是哪吒不一样
369,其他人物都是符合观众审美的
370,三个冲只有小胖子五官是个人
371,广东人五官也三庭五限分布的
372,这
373,是人么
374,小眼单眼皮都无所谓但要符合三庭五眼规律啊
375,不合不象人了啊
376,彮
377,横看竖看这审美和西方人简直一摸一样啊
378,挺好看的
379,对
380,除了我之外广东人都这样
381,广东人不开口
382,我是分辨不出来的
383,和全国长相上有区别么
384,不如说越南
385,垃圾就是垃圾
386,有啥好洗
387,没有到称得上很好的那个高度
388,只主角吗
389,骂一万次这个破脸
390,这眼间距都能放下两只眼睛了
391,估计他爹妈就长这样
392,理解
393,普通人长这样
394,我
395,他全
396,一看就是外国特务
397,说他故意丑化不对
398,或许人家就认为这样好看
399,审美被强
400,了
401,这个五官就是鳄鱼的五官
402,主要是以前的电影太好
403,现在都是烂剧
404,恐怖谷效应
