序号,内容
335,感觉很好看诶
336,三人行必有舞狮
337,除了配音别的都挺好
338,配音过于偶像剧那种音
339,带点方言
340,有些正常说话的杂音
341,才符合人物背景和故事
342,又不是央戏的故事
343,哈哈哈
344,那个好像游生啊
345,天生我才必有用
346,你的作用是衬托别人
347,树
348,俺也一样
349,粤语粤语
350,好
351,就冲这道商靓仔
352,这电影票我买定了
353,少年游生
354,像李小龙
355,黄渤
356,瓍
357,李白可能没说过大概率是宋朝人改的
358,五条人
359,闽南语学老好亲切啊哈哈哈
360,感觉很赞
361,大哥
362,大哥
363,杂毛很可爱啊
364,期待
365,磘
366,有一个口音特别像广东话
367,李铁
368,看起来不错哎
369,月
370,我生日
371,这个胖胖太可爱了
372,作业写完了吗
373,蝍
374,聎
375,支持一下
376,五条人
377,明年金鸡奖预定
378,海丰话
379,那你后备箱装的是啥
380,有个有点像大圣
381,靓仔
382,海南人听懂了
383,挺有趣的题材
384,唐氏综合征是吧
385,劳资看定了
386,很可以
387,帅小伙蛋黄派
388,好像蛋黄派
389,天生吾才必有用
390,千金散尽还复来
391,櫍
392,五条人
393,好好看的样子啊
394,就冲五条人这个电影得看
395,喜欢阿猫呜呜
396,打王者打疯了是吧
397,欍
398,眼睛好看
399,赞啊
400,终于国产动画不在抓那几个神话故事翻来覆去讲了
401,五条人
402,这是道山靓仔
403,跟阿珍爱上了阿强一样是五条人的歌
404,游生
405,老板娘才是最高战斗力
406,眯眯眼巡逻队还有五秒到达
407,男主这么看还挺好看的
408,游生是你啊
409,游生
410,舞狮哎这个题材我喜欢
411,从哪看
412,乖乖
413,五条人
414,终于看到了国内
415,动画的本土脸
416,比哪吒强
417,我喜欢他的方言
418,为什么做成眯眯眼
419,泼冷水的是什么来头什么目的
420,卧槽五条人
421,想看
422,左眼到右眼打车也要
423,块钱
424,全员眯眯眼
425,全员眯眯眼
426,可以查查制片方背后是什么成分
427,这眼睛真好看
428,这眼距有点离谱
429,是标准的商业片吗
430,感觉不错
431,欧欧欧
432,超好看
433,快去看
434,从群里看到消息来的
435,画风比我预计的还是强一些
436,内容也蛮有意思
437,当然眼睛小也是事实就是偶尔容易串戏
438,总是忍不住想到李荣浩那段经典
439,敢不敢把眼睛睁开说话
440,我
441,已经睁到最大了
442,五条人
443,靓仔
444,靓仔
445,绷不住了
446,唐氏综合征人设
447,新时代罕见
448,怎么少点攻击性啊
449,月
450,好看过的来报道
451,今年最强动画稳的
452,传统题材不错
453,刚看完点映
454,真是太好看了
455,强烈推荐
456,姴
457,去
458,道山靓仔
459,噫呦
460,五十万
461,流汗黄豆
462,整部动画
463,没有一个角色不是斜眼加眼距离谱的
464,刻板印象讨好老外是吧
465,题材不错
466,希望好好表现
467,雷人
468,都给我去看
469,我今天看完各个平台窜给人安利
470,甚至为了它写千字影评
471,相当于一篇高考作文了
472,信我
473,哈哈哈哈哈哈哈我矫正牙齿前也是这样说话的
474,严重广普
475,好可爱哈哈哈哈哈
476,今天去看了点映
477,特别好看
478,真的很好看
479,真的好看
480,题材好呀
481,期待期待
482,哈哈哈哈
483,已看完
484,很好看
485,五条人好评
486,唐氏综合征
487,导演一家就长这样
488,真的很好看
489,可惜看的人少
490,刻板印象警告
491,特别好看特别好看
492,今年最好看的电影没有之一
493,刚好是我生日
494,看到最后
495,眼泪真的止不住
496,暴牙苏
497,期待期待眯眯眼
498,特别特别特别好看
499,真的太推荐了
500,希望拍片多多
501,我也期待粤语版
502,或者闽南语
503,画风好看
504,好家伙
505,这眼间距再大点就成虫族了
506,不是
507,这眼距是认真的吗
508,木棉花
509,终于不是神话故事了
510,风景不错
511,这不是雄狮少年
512,这是雄猴少年
513,棍子
514,三杀
515,棍子
516,三杀
517,那个三沙笑死我了
518,致敬周星驰
519,巨巨巨好看
520,战斗力最强老板娘
521,五条人
522,哈哈哈哈哈
523,唐氏少年
524,五条人的歌哎
525,确实
526,唐氏综合征
527,五十万
528,原来广东人长这样
