序号,内容
231,而不是觉得眯眯眼是不对的
232,这是两个概念
233,你家监制张苗怎么说自己选的写实的
234,我们的审美里不会觉得眼睛小的人是绝世美人吧
235,小眼睛有但不会认为眯眯眼最美
236,懂
237,我们被强塞这种审美太久了
238,一定也不过激
239,跟你好像
240,我信了
241,师娘眼睛大的看过来
242,哪里大
243,主是不是觉得自己很理智可观
244,砀
245,主角设计可以丑得很随意
246,但不能刻意
247,是说如果把所以眼睛小的都说是
248,辱
249,的话
250,现实生活中眼睛偏小些的朋友可能会受到伤害
251,明明有这么多好看舒适的风格
252,偏偏选了这种有侮辱性的风格
253,但是人家的风格不丑啊
254,搁这强行解释呢
255,制作人自己说人物长相是广东采风的啊
256,因为人家都设计不丑也不羞辱自家人啊
257,师傅不是大眼睛的吗
258,主角小眼睛的也只是少数
259,怎么就成代表国人了
260,不能是师傅代表国人吗
261,这就是有些人以偏概全了
262,奀
263,其实这白蛇的眼距也挺宽的
264,好在眼睛大
265,男主后期简直帅爆
266,中国人有很多种长相的
267,国人脆弱的自尊心啊
268,这就只是缩小了
269,显得宽
270,扣帽子多容易
271,以后眯眯眼都不能算是中国人
272,整天说软实力不如人
273,还整天限制这限制那
274,在老外嘲讽我们之前
275,我们从来没觉得小眼睛有啥
276,其实就是被别人钉上了一个审美标准
277,美是多元的
278,说得好
279,可是人本身就不会像动画啊
280,呵呵
281,眼距都可以跑火车了还
282,比较宽
283,但是大眼睛确实在动画中更适合表现情绪
284,小眼睛放在大屏幕有点不明显
285,其实大眼睛我看吐了
286,恐怖谷效应
287,我就是天生小眼睛单眼皮还肿眼泡
288,确实
289,自己不自信还拿国人垫背
290,有谁故意往丑的方向夸张的
291,而且主创并不是不知道踩了红线
292,其实白蛇的叼角眼也被抨击过
293,当时是拿旦角眼平息了
294,动画本来就是夸张啊
295,所以怎么画都可以
296,真人天生的也不能说
297,合着眯眯眼就完全没问题
298,一主创自己都在标榜写实
299,到您这就成动画的夸张了
300,不能以形害意
301,就是本人
302,哪个动漫里的人
303,现实生活里都找不到
304,君子和而不同
305,小人同而不和
306,跟自己像
307,就不是审美问题是吗
308,觉得和韩国人太像了
309,但雄狮少年就不属于大众审美的那一类的
