序号,内容
261,高分都是水军吹出来的
262,你们接的都是通稿嘛
263,放开眼睛不看
264,这还是很不错的
265,在国内市场画眯眯眼
266,暴毙活该
267,所有人都对萨比这个词有应激反应
268,所以要做的是
269,别人说你萨比的时候你不要这样激动
270,搁这好看呢就嗯洗
271,我们广东人不长这样
272,想想花木兰
273,我啥都不说了
274,不是说你是国内的就可以
275,丢你楼母
276,主角一个眯眯眼很正常
277,全都是眯眯眼就不正常了吧
278,很多人以为自己长的很帅
279,在别人眼里你就是这样
280,很正常也很真实
281,又不是修真动漫个个都差不多
282,唐氏少年
283,你吗
284,关键不是小
285,眯眯眼也能有好看的角色
286,是长错地方了
287,雄狮少年制片人跟吴京合作过战狼
288,流浪地球
289,无论怎么说都得出来帮场
290,不能代表作品就是好的
291,蒚
292,你挺归你挺
293,太可怕了
294,原来我不配做广东人
295,广东人
296,扑你个街
297,韩国人才眯眯眼吧
298,中国人哪里眯眯眼了
299,真搞笑
300,现在的评分都是假的
301,官方让你几分就几分
302,导演本心不好
303,说那么多也是白搭
304,尿壶装的茅台
305,你喝吗
306,这是什么生物啊
307,就这
308,还不如网红脸
309,可能拍的人自己眯眯眼看不见吧
310,豆瓣锁平分了
311,丑是原罪
312,耐克
313,清美
314,雄狮
315,觐
316,叫你照照镜子
317,还不
318,说是参考广东人
319,一个非常套路的故事尬吹有新意
320,故事问题大得一逼当观众都看不出来
321,不是靠尬吹就可以的
322,都是没钱看电影的货色
323,没看过电影的再得瑟
324,没事
325,海外票房一定大卖
326,庱
327,前面都写了形象设计去网红化
328,你们还给他洗呢
329,因为我们广东人足够自信
330,所以才拒绝眯眯眼建模
331,要对别人丑化我们的固有形象自信吗
332,不要放阴间东西
333,群众的眼睛是雪亮的
334,吴京又如何
335,潎
336,赚钱嘛不寒碜
337,潎
338,加两撇长须胡子大家就明白了
339,你不是没看过吗
340,怎么啥都知道
341,是真的好看
342,但是人物建模是真的垃圾
343,要吃饭的嘛
344,我没看过
345,也看过安里
346,但是丑
347,算了
348,三角形是外国人反派
349,眯眯眼重新定义
350,雄
351,其实吴京怕不是只要是中国电影
352,哪怕再烂也不管
353,毕竟人设定死了
354,好家伙
355,跟外国人混熟了
356,忘了中国人审美了
357,英雄是你们树立起来的
358,英雄也是被你们绞死的
359,结果到最后不满意的还是你们
360,什么叫乌合之众啊
361,战术后仰
362,自虐
363,漤
364,清华少年
365,不是我们不自信
366,自卑
367,恰恰是自信才要勇于反击
368,不是我们偏见
369,是因为他们偏见我们反抗
370,现在还反过来被说偏见
371,洗
372,继续洗
373,你试试来广东说这句话
374,打不死你算输
375,做惯了外国人的狗
376,知道自己主子的审美口味好拿奖
377,躑
378,那也不能画的跟非人似的呀
379,好题材被糟蹋了
380,央视就推荐这个
381,眯眯眼
382,央视主持人怎么不是眯眯眼
383,这和宫崎骏根本一个天一个连地都不如
384,你正经点搞会死
385,谁五官斜成这狗样子
386,害怕
387,太可怕了
388,这个眼距至少是正常人
389,他怎么不懂呵呵
390,看脸好阴间啊
391,我们想看正常人他就说网红化呵呵
392,广东人招谁惹谁了
393,京哥这步走错了啊
394,说国粹元素好那没问题
395,说人物设计好那就不行了
396,广东人表示受到冒犯
397,并且想要问候他全家
398,虽然我不是广东人
399,但我可以理解这种事情
400,我没看过这电影
401,但我感觉这造型实在是不堪入目
402,这眯眯眼看着真隔应
403,他们师傅眼睛小
404,但比例很正常
405,不觉得丑
406,但为什么主角们的眼睛就这么奇特
407,的确是出现应激反应
408,呎
409,以后就给你设置一条缝你都没话说
410,没看过电影就不能盲目跟风
411,所有广东人团结起来
412,慴
413,这模型也就在某些捏脸游戏里见到
414,这电影里的中国人
415,眼睛都是睁不开的
416,蘗
417,采风
418,以广东人为参考
419,广东银
420,你们怎么看
421,说你呢
422,眼睛睁大点
423,吴京再力挺央视再力挺这个电影就是故意丑化中国人
424,这个人物形象是根据法国对中国人的印象做的
425,导演采访说的
426,世界各国眼睛大小各异
427,外国也有小眯的眼睛呀
428,我们大中国也有大眼睛双眼皮的好不啦
429,国外和一些傲慢人看待事物太过表面和存在偏见
430,我中山人虽然眼睛小但也没那么小
431,世界各国眼睛大小各异
432,外国也有小眯的眼睛呀
433,我们大中国也有大眼睛双眼皮的好不啦
434,国外和一些傲慢人看待事物太过表面和存在偏见
435,我还没说你国外眼睛贼大像死鱼眼呢
436,我们有拿你们的开过玩笑吗
437,我认同原神
438,里面处了稻妻讽刺一下日本社会
439,你直接讽刺自己人是什么意思
440,不支持动画所有人物都是这样的眼睛
441,世界上有那么多高矮胖瘦的人同样也会有眼睛大和小
442,凭啥我们就都是这样的眼睛
443,坚决不支持动画人物眼睛都是一系列的
444,哪个国家都长着一样的眼睛
445,动画主创有问题
446,吴狗除了会拿爱国圈钱还有什么它还支持上海堡垒呢就下流戏子
447,呸
448,可别侮辱广东人了
449,剧情讲真别吹了
450,挺一般的
451,眯眯眼不是问题
452,眼间距太离谱了
453,导演请你站着拍电影
454,水军是来赚钱的
455,不是来赔钱的
456,蘒
457,侮辱广东人
458,这么丑的角色
459,就是让我免费看
460,我也不看
461,但这部电影在质量上确实是国漫上程
462,谁双标了
463,不是在抵制了
464,一部动画几乎所有角色眼睛都是这样就离谱
465,这个造型好生气
466,这是人累的眼睛
467,哪个人类长这样
468,我也有看到说电影不好看的
469,不过讨论外形的更多
470,宣发大战一团乱
471,鱼的一生
472,我们这几年高分不少了
473,这是美国左派抗日电影
474,大地
475,中女主角的形象
476,一般吧
477,剧情
478,分
479,说得对
480,就是这样
481,豆瓣锁分
482,离谱
483,那也不用再而三的用这种妆容来考验自信心
484,好个屁
485,畷
486,隔壁做梦都想用这些人物给你拍动漫
487,哈哈哈哈
488,太瘆人了
489,接受无能
490,丑的跟鬼一样
491,分明就是美国白皮给我们安上的垃圾标签
492,咎
493,哈哈哈哈
494,撎
495,礵
496,当争论不止不休
497,它们就已经成功了
498,凭空炮制
499,矛盾对立
500,蒎
501,双标
502,除去人物建模
503,其余可以说都不错
504,但不支持是人物建模
505,至于为什么想一想都知道
506,这种舆论上的问题最头疼
507,去网红化不是一味的扮丑
508,全都是刷的
509,有些配角眯眯眼还不是太严重
510,但主角真的是
511,我不理解
512,太阴间了
513,广东人打死它
514,管疫情毛事情
515,洗地的祝你们后代都长这样
516,哈哈
517,本广东人长得很正常
518,制片人也是战狼二制片人
519,挸
520,广东人惹你了
521,这种东西还来
522,西方丑化东方审美的做法
523,咱国风从来不是这审美
524,滚
525,啧啧啧
526,吐了
527,我焯这么迷
528,索尼克都能改
529,到你这儿唐氏综合症眼就不能改了
530,襔
531,本来想看的
532,好难受
533,核
534,明星的号实际上都是经纪人或者找人在管理的
535,得了吧
536,吴京还没意识到问题所在吧
537,别无脑吹了
538,放屁
539,我个北方人都知道广东人是大眼睛
540,真丑啊
541,我的天
542,挣得是美元
543,审美自信你也要按事实来吧
544,你见过外星人
545,了
546,眯眯眼
547,还雄狮少年
548,这不是外国人的狗吗
549,一句话直接给我血压拉满了
550,眯眯眼怎么了
551,眯眯眼就不应该存在是吗
552,水军罢了
553,到时候国外天天辱你
554,你还不能说什么
555,个应激反应
556,好不好看心里没谱吗
557,这电影剧情还行
558,就是人物形象太丑
559,有一说一这电影确实好看
560,忽略眯眯眼的话
561,不要
562,一脸毁所有
563,说李白的发言时候尴尬的脚扣地
564,因为
565,吴京眼睛也不大
566,哈哈哈哈
567,塑造丑男都不行
568,贼眉鼠眼就中国传统反派师爷
569,反派谋士那种
570,咪咪眼有
571,搞个斜眼
572,面相就不好
573,这眼睛真的好奇怪耶
574,广东人出来说句话
575,跟
576,如果这是国漫标杆
577,国漫就没希望了
578,都是收了钱的
579,侮辱广东人
580,吐了
581,还不同审美
582,外国对我们都这刻板印象
583,眯眯眼一绝
584,一部为了出国拿奖
585,而故意丑化中国人的电影
586,唎
587,广东人都长这样吗
588,攎
589,已经辟谣了
590,甎
591,造谣张嘴
