序号,内容
305,又一个大鱼海棠
306,哈哈哈哈
307,正常人谁会看啊
308,不会觉得舞狮很简单吧
309,男主急需国家反诈
310,己所不欲勿施于人
311,蚌埠住了
312,我立刻三连
313,我上学内会儿天天被砸
314,这电影放屁这是木棉花
315,劝人去看的
316,大概是活佛吧
317,钱不是大风刮来的
318,所以不去
319,那确实
320,可以钝角
321,这种情节我觉得还好
322,日漫不是经常出现吗
323,脏兮兮的
324,成哥这两天骂唐氏少年的视频多了起来
325,我的币不太够用
326,等我过两天再给你投币哈
327,坐火车过去不就看见了
328,挺多人的啊
329,谁钱风刮
330,蝅
331,强行扣题是吧
332,能代入一下那个年代背景吗
333,重男轻女啊
334,你币有了
335,我们做生意的人如果过年活动被砸场是要和你抄家伙的
336,不去
337,背后这个锦旗敢问是自己买的吗
338,广东人震怒
339,这一拳贯穿星辰
340,没事
341,绝对不去
342,他随便去参加个什么选秀节目
343,也是让他爸妈看见
344,不那是杀头
345,这对象黄头发的吧
346,夺笋哈哈哈哈哈哈
347,涜
348,不抢就有鬼了
349,在广东
350,取这种女孩子的名字
351,从小到大基本都是社死的
352,注意是男娶女名
353,太怪了
354,国家反诈骗
355,说的太对了
356,这女主有病
357,舡
358,梅开二度
359,舔狗少年
360,蚌埠住了
361,拱吧老哥直呼内行
362,哈喽
363,皮
364,特
365,不想
366,违背妇女意愿后果严重
367,转的
368,没什么别的
369,我和女票那天去电影院看
370,我俩都快气炸了
371,你要说不讨论眼睛
372,那就不讨论
373,那么我们讨论下剧情逻辑和传统文化
374,毕竟是参考现实的
375,导演说这是宣传传统文化
376,还说去了广州采风
377,那么红狮子
378,这何尝不是一种
379,偌
380,人山人海
381,这何尝不是一种
382,兄弟
383,其实真的有人的
384,你去买瓶牛的眼泪摸在眼皮上就能看到
385,狗头
386,不想
387,使劲透我
388,蚌埠住了
389,躆
390,个人很喜欢
391,后半精彩
392,只是要求女主遵守最基本的道德
393,这也需要了解
394,好家伙
395,两句同样的歌词没一个调相同
396,好多人啊
397,女大耍
398,别去
399,有这钱干啥不行
400,女的能当狮头
401,你骂他们劝你赶紧去看
402,你看完了再骂
403,他们说你不自信
404,哈哈哈哈哈哈哈哈哈哈哈哈
405,一亿票房可是
406,一张票两天之内刷出来的
407,哈哈
408,笋都给你夺完
409,哈哈哈
410,没绷住可还行
411,姐有钱
412,都给我跪下
413,啊
414,喊几句口号就是燃
415,就这还叫嚣国漫崛起
416,这玩意儿日本动漫那部没有
417,木棉花
418,噫惹
419,我的第一反应
420,这是外国人做的电影
421,说是英雄花是因为它整朵地落而不随风飘零
422,搁这儿砸头就英雄好家伙
423,您是帮诸位排雷
424,对
425,我也接受不了这动漫形象
426,还有说这是广东文化形象
427,广东人表示
428,没想去看过
429,手机也不会去看
430,那也是木棉花
431,可以拿回去煲汤哈哈哈哈哈哈
432,前面的
433,舞狮根本没有淡出大众视野
434,只是你根本不关注
435,木棉花
436,高中就有
437,纯纯逆天
438,有钱人有资源有条件不去追梦
439,这跟重男轻女有关系
440,女主因为重男轻女不能舞狮所以跟别人说要别人去追梦
441,有半毛钱关系
442,纯纯自己一张嘴没成本乱忽悠
443,啊这
444,雅典娜降临凡间了吗介似
445,这不还是碰见脏东西了吗
446,鷰
447,哈哈哈哈哈哈哈哈哈
448,就冲凌波丽爷给你点赞了
449,又是凌波丽爷又给你三连了
450,经典又不了解现状
451,脑子有吗你
452,有观影计划的朋友们请放弃这个计划
453,牛顿
454,这个我熟
455,镶金阴兵夜场
456,爆满
457,两个眼怎么不偏口鱼设计
458,这可太对歪果仁的口味了
459,中国女性不平等啊
460,呵呵
461,女主算命的
462,我俩死活得杀一盘
463,哈哈哈哈哈哈哈哈哈
464,绝了
465,都是唐氏综合征
466,女主就是个角色啊
467,跟现实里的男女有嘛关系
468,佛山到广州骑摩托车都过去了啊哪需要坐火车
469,你就是可达鸭吧
470,绿油油的诚哥
471,没有没有
472,您了放心讲
473,从开头骑自行车
474,和打电话给父母的时候
475,都能知道阿娟非常热爱舞狮
476,这阅读理解
477,不热爱
478,也可以是开
479,啊少年快去创造奇迹
480,收钱
481,得票
482,正常人
483,哈哈哈哈哈
484,你现在才发觉
485,于谦
486,按道理不该是掉个蜘蛛下来吗
487,这何尝不是一种
488,日式中二
489,个人不喜欢
490,偏离现实
491,可以是钝角
492,下象棋
493,那个我插一句
494,国内票房高的电影有多少是剧情真的牛的
495,疯狂原始人
496,哈哈哈哈哈哈
497,真热闹
498,哈哈哈哈属实给我尬笑了
499,可以说是没有一个猜不到的剧情
500,中二病
501,嬎
502,说的好
503,嬎
504,十分准确
505,剧情尴尬得快抠出三室一厅了
506,嬎
507,哈哈哈哈哈哈
508,欎
509,宁愿把钱扔到水里听个声响
510,不比看
511,这个硬件玩意爽快吗
512,笎
513,怀疑眯眯眼都是打掩护的
514,让人忽略它本身就不好
515,鬎
516,神经病啊
517,价值观有问题
518,鬎
519,哈哈哈哈
520,原来是
521,只能说
522,是我们中国没有好看人了吗你非要这么画
523,别恶心自己人了
524,哈哈哈哈哈哈哈哈哈
525,剧情也不咋地
526,破剧情很离谱
527,甚至可以是捡破烂
528,啥玩意儿啊
529,一股天津大姨味
530,狗能看到人看不见的东西
531,女主设计就是热爱舞狮
532,竟然在别人舞狮正事时
533,夺别人青
534,这是什么教养
535,什么仇恨
536,除了动画技术确实不错
537,其他如剧情精神内核等都很拉跨
538,字幕人民
539,读作
540,哈哈哈
541,没见过这个
542,没教养的女舞狮
543,简直抹黑形象
544,舞狮没价值
545,随便送个陌生人
546,春节多在
547,月
548,木锦花开是
549,月左右
550,掉的时间不会选人
551,白天也请阴兵哈哈哈
552,哈哈哈哈哈哈哈
553,我小时候还造老鼠药玩呢
554,只是玩
555,随随便便
556,踩踏
557,自已热爱的女舞狮
558,她不讨人厌
559,谁讨
560,还
561,联合一波女拳是我没想到的
562,种族偏见加性别对立
563,这叠
564,属实让导演玩明白了
565,你特么别吓人我咋看不见人呢
566,别的不说
567,就介眼距看着就别扭吧
568,只是一个工具人罢了
569,哪里需要哪里搬
570,看完已有小孩说
571,舞狮夺冠
572,不如搬砖
573,为什么去舞狮
574,压根没想去看
575,正是因为自己都不行
576,还强行给别人灌鸡汤才离谱吧
577,不放
578,哈哈哈哈哈哈哈
579,哈哈哈
580,诚哥挺适合演公公的
581,武汉很多女狮舞的超棒
582,岝
583,没问题
584,自己不行就让别人去
585,这和猫爸虎妈自己考不上大学
586,就疯了一样压迫孩子有区别
587,也可以是上二楼
588,有人选择看到美好
589,这时候女权不出击
590,广佛同城啊
591,最精彩的全在预告片
592,有绿茶诺诺那味了
593,这让我想到龙族的路明非和女主
594,旅行青蛙
595,哈哈哈哈
596,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
597,真热闹
598,哇人好多啊
599,完全不可能
600,这
601,不是玩游戏的吗
602,为什么去上海打工啊
603,因为上海有迪士尼
604,这电影就是给外国人看的
605,国人只是捎带脚
606,羷
607,编剧是个人才
608,断篇大师
609,它们又不买票
610,粉了
611,真实
612,虾仁猪心
613,我们经过严格的训练
614,不论多好笑
615,我们都不会笑
616,笑死我了
617,工具人
618,他这一睁眼
619,给我吓一跳
620,蚌埠住了
621,钝角
622,广州到他们村也就
623,公里啊
624,广州和佛山就隔着一条河
