序号,内容
331,逻辑爆炸
332,确实
333,逻辑爆炸
334,逻辑不能自洽
335,不尬吹
336,很好看
337,我觉得很好看
338,分
339,一分也不想给
340,我身边广东人都长这样
341,我身边广东人都长这样
342,我身边广东人都长这样
343,鳑
344,十分
345,鸡
346,汤
347,来
348,了
349,前面的别拉踩哪吒
350,哪吒比这好看一万倍
351,我觉得很好看啊
352,大家都觉得很好看
353,这好电影
354,我很感动
355,我
356,也
357,觉
358,得
359,超
360,级
361,好
362,看
363,我们广东人就长着样
364,压根不回去看
365,反思下粉丝数量吧
366,关注你了
367,我觉得很好看啊
368,指票房不到一亿
369,支持
370,你是我的英雄
371,本广东人想打导演了
372,我觉得很好看啊
373,指票房不到一亿
374,广东朋友表示受到伤害
375,警告警告
376,后面阴兵过境了
377,我也觉得好看
378,你
379,我也找不到优点了
380,鏨
381,我打
382,分
383,好开
384,弹幕真是笑死我了
385,我觉得说剧本不好看我能理解
386,但是要说人物设计我不理解
387,为什么非要把动画人物和现实相比
388,不是
389,又崛起了
390,我就全程没看手机
391,这弹幕给我看笑了
392,别说广东朋友很喜欢
393,广东朋友不喜欢
394,哪吒好看吗
395,我
396,也
397,觉
398,得
399,很
400,好
401,看
402,这样的动漫能有什么内涵
403,钱全花到宣发上
404,还剧情
405,但是哪吒剧情很俗
406,毫无新意
407,非常好看啊
408,很扯
409,全场都在认真看
410,我觉得很好看啊
411,角色的眼睛非常迷人
412,阿甘正传
413,也煽情了
414,而且我感觉跟这个煽情的成分数量也差不多
415,你也喷呀
416,喷呀
417,喷呀
418,阿甘正传
419,可是评分
420,啊
421,我们广东人不长这样啊
422,对不起
423,这电影票房我没法出力
424,欣赏不来
425,哪吒逻辑才有硬伤
426,神话累了
427,比哪吒好看多了啊啊啊
428,分
429,一分
430,很好啦
431,请一定看了在评价
432,不知道为什么
433,我个人觉得长得还行呀
434,我觉得好看
435,挺好看的
436,比哪吒强不少
437,代入感很强没有尴尬的点
438,茎
439,没有
440,分选么
441,我怀疑你跟导游有仇
442,但是我没有证据
443,彄
444,白蛇
445,是最能打的
446,白蛇
447,去除编剧成分也能游几圈
448,我觉得剧情很一般
449,而且非常俗套
450,一句话否定了主创
451,不知道多少年的努力
452,动画真的很好
453,剧情俗套
454,说的啥啊
455,鸡汤喝吐了
456,但是最后并不是完美的结局啊
457,龌
458,就是比哪吒好看啊
459,很好看啊
460,说的太个人
461,我感觉剧情方面还是可以的
462,我也觉得超级好看
463,我也觉得超级好看
